 ,Area,Mean,Min,Max
1,0.902,157.415,37,182
2,3.100,172.620,36,200
3,0.205,122.452,40,173
4,0.408,165.108,46,190
5,0.439,167.907,45,201
6,0.231,156.323,52,194
7,1.022,172.186,45,202
8,0.031,117.667,58,163
