 ,Area,Mean,Min,Max
1,0.334,116.297,29,190
2,0.272,165.339,59,199
3,0.431,106.449,32,175
4,0.261,152.656,34,193
5,0.329,179.098,58,202
6,0.026,137.837,88,173
7,1.927,152.808,39,197
8,3.570,160.199,57,186
