 ,Area,Mean,Min,Max
1,0.269,162.789,35,189
2,5.362,176.288,27,210
3,0.603,107.459,29,168
4,1.168,137.956,36,187
5,0.807,137.196,6,183
6,0.083,134.397,49,177
