 ,Area,Mean,Min,Max
1,1.676,175.334,36,203
2,1.867,157.873,19,187
3,0.715,157.922,33,202
4,0.118,131.610,25,164
5,1.646,158.934,39,207
6,2.939,172.290,48,201
